isi_unique_article_identifier, doi, authors_raw, authors_clean, authors_excluded, title, publication_year
"000362475800001","10.1186/s12934-015-0350-1","Bernaerts, Kristel; Ellis, David I; Goodacre, Royston; Muhamadali, Howbeer; Rattray, Nicholas J W; Trivedi, Drupad K; Xu, Yun","Bernaerts, Kristel; Ellis, David I; Goodacre, Royston; Muhamadali, Howbeer; Rattray, Nicholas J W; Trivedi, Drupad K; Xu, Yun","","Metabolomics investigation of recombinant mTNF alpha production in Streptomyces lividans","2015"
"000362400700001","10.1186/s13068-015-0347-3","Dunlop, Mary J; Tomko, Timothy A","Dunlop Mary J.; Tomko, Timothy A","","Engineering improved bio-jet fuel tolerance in Escherichia coli using a transgenic library from the hydrocarbon-degrader Marinobacter aquaeolei","2015"
"000363487600015","10.1098/rsif.2015.0586","Agrawal, Deepak K; Franco, Elisa; Schulman, Rebecca","Agrawal, Deepak K; Franco, Elisa; Schulman, Rebecca","","A self-regulating biomolecular comparator for processing oscillatory signals","2015"
"000373896200001","10.7554/eLife.09771","Hori, Yutaka; Maerkl, Sebastian J; Murray, Richard M; Niederholtmeyer, Henrike; Sun, Zachary Z; Verpoorte, Amanda; Yeung, Enoch","Hori, Yutaka; Maerkl, Sebastian J; Murray, Richard M; Niederholtmeyer, Henrike; Sun, Zachary Z; Verpoorte, Amanda; Yeung, Enoch","","Rapid cell-free forward engineering of novel genetic ring oscillators","2015"
"000363396000030","10.1002/anie.201506346","Freeman, David J; Hughes, Robert M; Lamb, Kelsey N; Lawrence, David S; Pollet, Rebecca M; Smith, Weston J","Freeman, David J; Hughes, Robert M; Lamb, Kelsey N; Lawrence, David S; Pollet, Rebecca M; Smith, Weston J","","Optogenetic Apoptosis: Light-Triggered Cell Death","2015"
"000362553100002","10.1002/cctc.201500602","Berry, Alan; Pearsall, Sarah M; Rowley, Christopher N","Berry, Alan; Pearsall, Sarah M; Rowley, Christopher N","","Advances in Pathway Engineering for Natural Product Biosynthesis","2015"
"000364385700001","10.1080/09505431.2015.1037827","Calvert, Jane; Schyfter, Pablo","Calvert, Jane; Schyfter, Pablo","Calvert, Jane; Schyfter, Pablo","Intentions, Expectations and Institutions: Engineering the Future of Synthetic Biology in the USA and the UK","2015"
"000367591800022","10.1128/AAC.00991-15","Fallarero, Adyary; Galindo, Paola San Martin; Ichinose, Koji; Manner, Suvi; Metsa-Ketela, Mikko; Oja, Terhi; Taguchi, Takaaki; Vuorela, Pia M","Fallarero, Adyary; Galindo, Paola San Martin; Ichinose, Koji; Manner, Suvi; Metsa-Ketela, Mikko; Oja, Terhi; Taguchi, Takaaki; Vuorela, Pia M","","Effective Antibiofilm Polyketides against Staphylococcus aureus from the Pyranonaphthoquinone Biosynthetic Pathways of Streptomyces Species","2015"
"000364888800001","10.1016/j.cbpa.2015.08.001","Chang, Michelle C Y; Zhao, Huimin","Chang, Michelle C Y; Zhao, Huimin","","Editorial overview: Opportunities and challenges in synthetic biology","2015"
"000364888800006","10.1016/j.cbpa.2015.05.012","Ford, Tyler J; Silver, Pamela A","Ford, Tyler J; Silver, Pamela A","","Synthetic biology expands chemical control of microorganisms","2015"
"000364888800007","10.1016/j.cbpa.2015.05.021","Aubel, Dominique; Fussenegger, Martin; Kojima, Ryosuke","Aubel, Dominique; Fussenegger, Martin; Kojima, Ryosuke","","Novel theranostic agents for next-generation personalized medicine: small molecules, nanoparticles, and engineered mammalian cells","2015"
"000364888800009","10.1016/j.cbpa.2015.05.018","Chappell, James; Lucks, Julius B; Takahashi, Melissa K; Watters, Kyle E","Chappell, James; Lucks, Julius B; Takahashi, Melissa K; Watters, Kyle E","","A renaissance in RNA synthetic biology: new mechanisms, applications and tools for the future","2015"
"000364888800013","10.1016/j.cbpa.2015.06.008","Des Soye, Benjamin J; Isaacs, Farren J; Jewett, Michael C; Patel, Jaymin R","Des Soye, Benjamin J; Isaacs Farren Justin; Jewett, Michael C; Patel, Jaymin R","","Repurposing the translation apparatus for synthetic biology","2015"
"000364888800014","10.1016/j.cbpa.2015.06.024","Biarnes-Carrera, Marc; Breitling, Rainer; Takano, Eriko","Biarnes-Carrera, Marc; Breitling, Rainer; Takano, Eriko","","Butyrolactone signalling circuits for synthetic biology","2015"
"000364888800015","10.1016/j.cbpa.2015.06.025","Hadadi, Noushin; Hatzimanikatis, Vassily","Hadadi, Noushin; Hatzimanikatis, Vassily","","Design of computational retrobiosynthesis tools for the design of de novo synthetic pathways","2015"
"000364888800016","10.1016/j.cbpa.2015.06.026","Chowdhury, Anupam; Khodayari, Ali; Maranas, Costas D; Ng, Chiam Yu","Chowdhury, Anupam; Khodayari, Ali; Maranas, Costas D; Ng, Chiam Yu","","Advances in de novo strain design using integrated systems and synthetic biology tools","2015"
"000364888800021","10.1016/j.cbpa.2015.07.009","Garst, Andrew D; Gill, Ryan T; Grau, William C; Halweg-Edwards, Andrea L; Winkler, James D","Garst, Andrew D; Gill, Ryan T; Grau, William C; Halweg-Edwards, Andrea L; Winkler, James D","","The emergence of commodity-scale genetic manipulation","2015"
"000365065400005","10.1016/j.mib.2015.06.004","Funahashi, Akira; Karr, Jonathan R; Takahashi, Koichi","Funahashi, Akira; Karr, Jonathan R; Takahashi, Koichi","","The principles of whole-cell modeling","2015"
"000364929000002","10.1038/ncomms9500","Barber, Nathan B; Bentley, William E; Payne, Gregory F; Servinsky, Matthew D; Terrell, Jessica L; Tsao, Chen-Yu; Wu, Hsuan-Chen","Barber, Nathan B; Bentley, William E; Payne, Gregory F; Servinsky, Matthew D; Terrell, Jessica L; Tsao, Chen-Yu; Wu, Hsuan-Chen","","Nano-guided cell networks as conveyors of molecular communication","2015"
"000363998600003","10.1016/j.jbiosc.2015.02.017","Ali, Zahir; Alshareef, Sahar; Aouida, Mustapha; Li, Lixin; Mahfouz, Magdy M; Mahjoub, Ali; Piatek, Agnieszka","Ali, Zahir; Alshareef, Sahar; Aouida, Mustapha; Li, Lixin; Mahfouz, Magdy M; Mahjoub, Ali; Piatek, Agnieszka","","Transcription activator-like effector nucleases mediated metabolic engineering for enhanced fatty acids production in Saccharomyces cerevisiae","2015"
"000363759700009","10.1042/BST20150077","Aires, Antonio; Cortajarena, Aitziber L; Couleaud, Pierre; Mejias, Sara H; Romera, David","Aires, Antonio; Cortajarena, Aitziber L; Couleaud, Pierre; Mejias, Sara H; Romera, David","","Biomolecular templating of functional hybrid nanostructures using repeat protein scaffolds","2015"
"000363759700039","10.1042/BST20150139","Kerr, Ian D; Theodoulou, Frederica L","Kerr, Ian D; Theodoulou, Frederica L","","ABC transporter research: going strong 40 years on","2015"
"000363444600007","10.1111/jam.12919","Du, L; Lin, C -Y; Pang, A -P; Qiao, J; Zhao, G -R","Du, L; Lin, C -Y; Pang, A -P; Qiao, J; Zhao, Guang-Rong","","Co-overexpression of lmbW and metK led to increased lincomycin A production and decreased byproduct lincomycin B content in an industrial strain of Streptomyces lincolnensis","2015"
"000363226700001","10.1021/acssynbio.5b00190","Ellington, Andrew D; Friedman, Douglas C","Ellington Andrew D.; Friedman, Douglas C","","Industrialization of Biology","2015"
"000363226700006","10.1021/sb5002196","Pierce, Niles A; Wolfe, Brian R","Pierce, Niles A; Wolfe, Brian R","","Sequence Design for a Test Tube of Interacting Nucleic Acid Strands","2015"
"000363226700012","10.1021/acssynbio.5b00062","Adams, Paul D; Goyal, Garima; Hillson, Nathan J; Keasling, Jay D; Kim, Peter W; Koutsoubelis, Nicolas; Shih, Steve C C; Singh, Anup K","Adams, Paul D; Goyal, Garima; Hillson, Nathan J; Keasling, Jay D; Kim, Peter W; Koutsoubelis, Nicolas; Shih, Steve C C; Singh, Anup K","","A Versatile Microfluidic Device for Automating Synthetic Biology","2015"
"000363459800033","10.1128/AEM.01349-15","Berla, Bertram M; Ng, Andrew H; Pakrasi, Himadri B","Berla, Bertram M; Ng, Andrew H; Pakrasi, Himadri B","","Fine-Tuning of Photoautotrophic Protein Production by Combining Promoters and Neutral Sites in the Cyanobacterium Synechocystis sp Strain PCC 6803","2015"
"000362845400006","10.1093/bioinformatics/btv319","Backofen, Rolf; Kleinkauf, Robert; Mann, Martin","Backofen, Rolf; Kleinkauf, Robert; Mann, Martin","","antaRNA: ant colony-based RNA sequence design","2015"
"000362555700012","","Waltz, Emily","Waltz, Emily","","Kirk, to boldly go into synthetic biology","2015"
"000362555700025","10.1038/nbt.3365","Kim, Hyun Uk; Lee, Sang Yup","Kim, Hyun Uk; Lee, Sang Yup","","Systems strategies for developing industrial microbial strains","2015"
"000362581200005","10.1007/s10930-015-9630-1","Bacik, John-Paul; Marti-Arbona, Ricardo; Twary, Scott N; Yeager, Chris M","Bacik, John-Paul; Marti-Arbona, Ricardo; Twary, Scott N; Yeager, Chris M","","Modulation of FadR Binding Capacity for Acyl-CoA Fatty Acids Through Structure-Guided Mutagenesis","2015"
"000362166700001","10.1186/s13036-015-0017-9","Chugani, Divya; Dorado-Morales, Pedro; Frias, Alba; Fritschi, Marco; Molero, Xavier; Morales, Lucas; Pena, Carlos; Pereto, Juli; Porcar, Manuel; Ramon, Daniel; Segredo, Ernesto; Tanner, Kristie; Vilanova, Cristina; Villaescusa, Paula","Chugani, Divya; Dorado-Morales, Pedro; Frias, Alba; Fritschi, Marco; Molero, Xavier; Morales, Lucas; Pena, Carlos; Pereto, Juli; Porcar, Manuel; Ramon, Daniel; Segredo, Ernesto; Tanner, Kristie; Vilanova, Cristina; Villaescusa, Paula","","Standards not that standard","2015"
"000361650000005","10.1007/s10295-015-1668-8","Feng, Lu; Huang, Di; Liu, Bin; Mei, Zhu; Wang, Ru; Yao, Yongpeng; Zhang, Hang","Feng, Lu; Huang, Di; Liu, Bin; Mei, Zhu; Wang, Ru; Yao, Yongpeng; Zhang, Hang","","Directed optimization of a newly identified squalene synthase from Mortierella alpine based on sequence truncation and site-directed mutagenesis","2015"
"000361885500007","10.1007/s11120-014-0059-8","Gaudana, Sandeep B; Kerfeld, Cheryl A; Moparthi, Vamsi K; Zarzycki, Jan","Gaudana, Sandeep B; Kerfeld, Cheryl A; Moparthi, Vamsi K; Zarzycki, Jan","","Bioinformatic analysis of the distribution of inorganic carbon transporters and prospective targets for bioengineering to increase C-i uptake by cyanobacteria","2015"
"000361885500012","10.1007/s11120-015-0076-2","Cameron, Jeffrey C; Gordon, Gina C; Pfleger, Brian F","Cameron, Jeffrey C; Gordon, Gina C; Pfleger, Brian F","","Genetic and genomic analysis of RNases in model cyanobacteria","2015"
"000360839800017","10.1007/s00253-015-6550-0","Difilippo, Elisabetta; Lezyk, Mateusz; Logtenberg, Madelon J; Meyer, Anne S; Mikkelsen, Jorn Dalgaard; Nordvang, Rune Thorbjorn; Nyffenegger, Christian; Schols, Henk A; Zeuner, Birgitte","Difilippo, Elisabetta; Lezyk, Mateusz; Logtenberg, Madelon J; Meyer, Anne S; Mikkelsen, Jorn Dalgaard; Nordvang, Rune Thorbjorn; Nyffenegger, Christian; Schols, Henk A; Zeuner, Birgitte","","Backbone structures in human milk oligosaccharides: trans-glycosylation by metagenomic beta-N-acetylhexosaminidases","2015"
"000361493200022","10.1007/s00253-015-6734-7","Dong, Lichun; Li, Qiang; Li, Sha; Qin, Dandan; Wang, Dan; Wang, Jing; Zhang, Baoyun; Zhou, Xiaohua","Dong, Lichun; Li, Qiang; Li, Sha; Qin, Dandan; Wang, Dan; Wang, Jing; Zhang, Baoyun; Zhou, Xiaohua","","Fine-tuning of ecaA and pepc gene expression increases succinic acid production in Escherichia coli","2015"
"000360862800007","10.1007/s00249-015-1063-4","Dimitrova, Anna I; Kocer, Armagan; Walko, Martin; Yilmaz, Duygu","Dimitrova, Anna I; Kocer, Armagan; Walko, Martin; Yilmaz, Duygu","","Study of light-induced MscL gating by EPR spectroscopy","2015"
"000360715300021","10.1007/s11306-015-0781-z","Heijnen, Joseph J; Lameiras, Francisca; van Gulik, Walter M","Heijnen, Joseph J; Lameiras, Francisca; van Gulik, Walter M","","Development of tools for quantitative intracellular metabolomics of Aspergillus niger chemostat cultures","2015"
"000360376400005","10.1111/nph.13532","Aharoni, Asaph; Ajioka, Jim; Ane, Jean-Michel; Baulcombe, David C; Bouwmeester, Harro; Breakspear, Andy; Brutnell, Thomas P; Delaux, Pierre-Marc; Denby, Katherine; Edwards, Keith J; Farre, Gemma; Field, Rob; Fox, Samantha; Fraser, Paul D; Granell, Antonio; Hamberger, Bjoern R; Haseloff, Jim; Hibberd, Julian; Jones, Jonathan D G; Kamoun, Sophien; Kuhn, Hannah; Langdale, Jane; Leveau, Aymeric; Locke, James; Loque, Dominique; Marillonnet, Sylvestre; Martin, Cathie; Matthewman, Colette; Miller, Ben; Murray, James A H; Ntoukakis, Vardis; O'Connor, Sarah; Oldroyd, Giles; Orzaez, Diego; Osbourn, Anne; Patron, Nicola; Quick, W Paul; Radhakrishnan, Guru; Raines, Christine; Raitskin, Oleg; Rischer, Heiko; Robatzek, Silke; Rogers, Christian; Sanders, Dale; Schaefer, Patrick; Schornack, Sebastian; Shih, Patrick; Smith, Alison; South, Paul F; Stougaard, Jens; Tissier, Alain; Udvardi, Michael; Van Esse, H Peter; Warzecha, Heribert; Webb, Alex A R; Wulff, Brande; Youles, Mark; Zipfel, Cyril","Aharoni, Asaph; Ajioka, James W; Ane, Jean-Michel; Baulcombe, David C; Bouwmeester, Harro; Breakspear, Andy; Brutnell, Thomas P; Delaux, Pierre-Marc; Denby, Katherine; Edwards, Keith J; Farre, Gemma; Field, Rob; Fox, Samantha; Fraser, Paul D; Granell, Antonio; Hamberger, Bjorn; Haseloff, Jim; Hibberd, Julian; Jones, Jonathan D G; Kamoun, Sophien; Kuhn, Hannah; Langdale, Jane; Leveau, Aymeric; Locke, James; Loque, Dominique; Marillonnet, Sylvestre; Martin, Cathie; Matthewman, Colette; Miller, Ben; Murray, James A H; Ntoukakis, Vardis; O'Connor, Sarah; Oldroyd, Giles; Orzaez, Diego; Osbourn, Anne E; Patron, Nicola; Quick, W Paul; Radhakrishnan, Guru; Raines, Christine; Raitskin, Oleg; Rischer, Heiko; Robatzek, Silke; Rogers, Christian; Sanders, Dale; Schaefer, Patrick; Schornack, Sebastian; Shih, Patrick M; Smith, Alison Gail; South, Paul F; Stougaard, Jens; Tissier, Alain; Udvardi, Michael; Van Esse, H Peter; Warzecha, Heribert; Webb, Alex A R; Wulff, Brande; Youles, Mark; Zipfel, Cyril","","Standards for plant synthetic biology: a common syntax for exchange of DNA parts","2015"
"000360376400006","10.1111/nph.13433","Boyce, Andy; Carmichael, Ruth E; Matthewman, Colette; Patron, Nicola J","Boyce, Andy; Carmichael, Ruth E; Matthewman, Colette; Patron, Nicola","","An introduction to synthetic biology in plant systems: <bold>ERASynBio/OpenPlant summer school for early career researchers, September 2014</bold","2015"
"000362243300020","10.1021/jacs.5b06207","Grochmal, Anna; Makin-Taylor, Robert; Prohens, Rafel; Prout, Luba; Tomas, Salvador","Grochmal, Anna; Makin-Taylor, Robert; Prohens, Rafel; Prout, Luba; Tomas, Salvador","","Modulation of Reactivity in the Cavity of Liposomes Promotes the Formation of Peptide Bonds","2015"
"000361941600051","10.1073/pnas.1511027112","Bai, Chaoxian; Hu, Yiling; Lou, Chunbo; Miao, Jin; Xiang, Sihai; Zhang, Lixin; Zhang, Yang; Zhao, Xuejin","Bai, Chaoxian; Hu, Yiling; Lou, Chunbo; Miao, Jin; Xiang, Sihai; Zhang, Lixin; Zhang, Yang; Zhao, Xuejin","","Exploiting a precise design of universal synthetic modular regulatory elements to unlock the microbial natural products in Streptomyces","2015"
"000362054200017","","Anonymous","Anonymous","Anonymous","Synlogic pairs knowledge of the microbiome with synthetic biology to treat rare metabolic disorders","2015"
"000209925900005","10.1016/j.cels.2015.08.013","Ando, Hiroki; Lemire, Sebastien; Lu, Timothy K; Pires, Diana P","Ando, Hiroki; Lemire, Sebastien; Lu, Timothy K; Pires, Diana P","","Engineering Modular Viral Scaffolds for Targeted Bacterial Population Editing","2015"
"000362815900001","10.1002/cbic.201500302","Hu, Cheng; Liu, Xiaohong; Wang, Jiangyun; Yu, Yang","Hu, Cheng; Liu, Xiaohong; Wang, Jiangyun; Yu, Yang","","Synthetic Model of the Oxygen-Evolving Center: Photosystem II under the Spotlight","2015"
"000360254400004","10.1016/j.jtbi2015.04.036","Briones, Carlos; de la Escosura, Andres; Ruiz-Mirazo, Kepa","Briones, Carlos; de la Escosura, Andres; Ruiz-Mirazo, Kepa","","The systems perspective at the crossroads between chemistry and biology","2015"
"000361592600001","10.1186/s12870-015-0596-0","Bross, Crystal D; Chang, Limei; Chen, Xue; Desgagne-Penix, Isabel; Facchini, Peter J; Farrow, Scott C; Hagel, Jillian M; Lee, Eun-Jeong; Morris, Jeremy S; Sensen, Christoph W; Soh, Jung; Zhang, Ye","Bross, Crystal D; Chang, Limei; Chen, Xue; Desgagne-Penix, Isabel; Facchini, Peter J; Farrow, Scott C; Hagel, Jillian M; Lee, Eun-Jeong; Morris, Jeremy S; Sensen, Christoph W; Soh, Jung; Zhang, Ye","","Transcriptome analysis of 20 taxonomically related benzylisoquinoline alkaloid-producing plants","2015"
"000361358300001","10.1186/s13036-015-0010-3","Jajesniak, Pawel; Wong, Tuck Seng","Jajesniak, Pawel; Wong, Tuck Seng","","QuickStep-Cloning: a sequence-independent, ligation-free method for rapid construction of recombinant plasmids","2015"
"000361358700001","10.1186/s13072-015-0023-7","Laufer, Benjamin I; Singh, Shiva M","Laufer, Benjamin I; Singh, Shiva M","","Strategies for precision modulation of gene expression by epigenome editing: an overview","2015"
"000361283500004","10.1186/s12918-015-0188-5","Blanchard, Andrew E; Lu, Ting","Blanchard, Andrew E; Lu, Ting","","Bacterial social interactions drive the emergence of differential spatial colony structures","2015"
"000361441700009","10.1186/s12934-015-0332-3","Galanie, Stephanie; Smolke, Christina D","Galanie, Stephanie; Smolke Christina D.","","Optimization of yeast-based production of medicinal protoberberine alkaloids","2015"
"000365618800001","10.3389/fphar.2015.00196","Mamaeva, Veronika; Paramonov, Valeriy M; Rivero-Muller, Adolfo; Sahlgren, Cecilia","Mamaeva, Veronika; Paramonov, Valeriy M; Rivero-Muller, Adolfo; Sahlgren, Cecilia","","Genetically-encoded tools for cAMP probing and modulation in living systems","2015"
"000362061100009","10.1016/j.ymeth.2015.05.020","Chappell, James; Hayes, Clarmyra A; Lucks, Julius B; Murray, Richard M; Noireaux, Vincent; Sun, Zachary Z; Takahashi, Melissa K","Chappell, James; Hayes, Clarmyra A; Lucks, Julius B; Murray, Richard M; Noireaux, Vincent; Sun, Zachary Z; Takahashi, Melissa K","","Characterizing and prototyping genetic networks with cell-free transcription-translation reactions","2015"
"000361587100002","10.1186/s13068-015-0329-5","Bai, Xue; Chen, Dong-Fang; Chen, Fu-Zan; Li, Bing-Zhi; Wang, Xin; Yuan, Ying-Jin","Bai, Xue; Chen, Dong-Fang; Chen, Fu-Zan; Li, Bing-Zhi; Wang, Xin; Yuan, Ying-jin","","Increasing proline and myo-inositol improves tolerance of Saccharomyces cerevisiae to the mixture of multiple lignocellulose-derived inhibitors","2015"
"000361177400001","10.1038/srep14063","Aili, Daniel; Aronsson, Christopher; Danmark, Staffan; Enander, Karin; Oberg, Per; Su, Haibin; Zhou, Feng","Aili, Daniel; Aronsson, Christopher; Danmark, Staffan; Enander, Karin; Oberg, Per; Su, Haibin; Zhou, Feng","","Self-sorting heterodimeric coiled coil peptides with defined and tuneable self-assembly properties","2015"
"000361092500001","10.1186/s12934-015-0321-6","Cortes, Pilar de la Torre; Daran-Lapujade, Pascale; Pronk, Jack T; van Gulik, Walter M; Vos, Tim","Cortes, Pilar de la Torre; Daran-Lapujade, Pascale; Pronk, Jack T; van Gulik, Walter M; Vos, Tim","","Growth-rate dependency of de novo resveratrol production in chemostat cultures of an engineered Saccharomyces cerevisiae strain","2015"
"000361043100066","10.1371/journal.pone.0137652","Beyer, Hannes M; Gonschorek, Patrick; Meier, Matthias; Samodelov, Sophia L; Weber, Wilfried; Zurbriggen, Matias D","Beyer, Hannes M; Gonschorek, Patrick; Meier, Matthias; Samodelov, Sophia L; Weber, Wilfried; Zurbriggen, Matias D","","AQUA Cloning: A Versatile and Simple Enzyme-Free Cloning Approach","2015"
"000361251600021","10.1021/jacs.5b03593","Arai, Ryoichi; Hecht, Michael H; Kobayashi, Naoya; Sato, Takaaki; Unzai, Satoru; Yanase, Keiichi","Arai, Ryoichi; Hecht, Michael H; Kobayashi, Naoya; Sato, Takaaki; Unzai, Satoru; Yanase, Keiichi","","Self-Assembling Nano-Architectures Created from a Protein Nano-Building Block Using an Intermolecularly Folded Dimeric de Novo Protein","2015"
"000361157200001","10.3389/fmicb.2015.00906","Beites, Tiago; Mendes, Marta V","Beites, Tiago; Mendes, Marta V","","Chassis optimization as a cornerstone for the application of synthetic biology based strategies in microbial secondary metabolism","2015"
"000360980300010","10.1016/j.molp.2015.05.010","Liu, Qunfang; Wang, Pingping; Wei, Wei; Wei, Yongjun; Yan, Xing; Yang, Chengshuai; Yue, Jianmin; Zhao, Guoping; Zhou, Zhihua","Liu, Qunfang; Wang, Pingping; Wei, Wei; Wei, Yongjun; Yan, Xing; Yang, Chengshuai; Yue, Jianmin; Zhao, Guoping; Zhou, Zhihua","","Characterization of Panax ginseng UDP-Glycosyltransferases Catalyzing Protopanaxatriol and Biosyntheses of Bioactive Ginsenosides F1 and Rh1 in Metabolically Engineered Yeasts","2015"
"000360677100002","10.1186/s13068-015-0327-7","Jung, Gyoo Yeol; Lim, Hyun Gyu; Lim, Jae Hyung","Jung, Gyoo Yeol; Lim, Hyun Gyu; Lim, Jae Hyung","","Modular design of metabolic network for robust production of n-butanol from galactose-glucose mixtures","2015"
"000360628900041","10.1126/science.aac9373","Galanie, Stephanie; Interrante, Maria Filsinger; Smolke, Christina D; Thodey, Kate; Trenchard, Isis J","Galanie, Stephanie; Interrante, Maria Filsinger; Smolke Christina D.; Thodey, Kate; Trenchard, Isis","","SYNTHETIC BIOLOGY Complete biosynthesis of opioids in yeast","2015"
"000361303300008","10.1093/nar/gkv719","Ceulemans, Arnout; Dumbre, Shrinivas; Herdewijn, Piet; Knies, Christine; Lescrinier, Eveline; Maiti, Mohitosh; Maiti, Munmun; Rosemeyer, Helmut","Ceulemans, Arnout; Dumbre, Shrinivas; Herdewijn, Piet; Knies, Christine; Lescrinier, Eveline; Maiti, Mohitosh; Maiti, Munmun; Rosemeyer, Helmut","","Xylonucleic acid: synthesis, structure, and orthogonal pairing properties","2015"
"000360426000004","10.1186/s12859-015-0706-x","Taneda, Akito","Taneda, Akito","","Multi-objective optimization for RNA design with multiple target secondary structures","2015"
"000361473300011","10.1080/15476286.2015.1071762","Atar, Shimshi; Ben-Yehezkel, Tuval; Cohen, Rafael; Dana, Alexandra; Diament, Alon; Feldman, Anna; Goz, Eli; Marx, Tzipy; Shapiro, Ehud; Tuller, Tamir; Zur, Hadas","Atar, Shimshi; Ben Yehezkel, Tuval; Cohen, Rafael; Dana, Alexandra; Diament, Alon; Feldman, Anna; Goz, Eli; Marx, Tzipy; Shapiro, Ehud; Tuller, Tamir; Zur, Hadas","","Rationally designed, heterologous S. cerevisiae transcripts expose novel expression determinants","2015"
"000368998500011","10.1002/advs.201500129","Bai, Fan; Baker, Matthew A B; Ma, Qi; Xue, Ruidong","Bai, Fan; Baker, Matthew A B; Ma, Qi; Xue, Ruidong","","A Delicate Nanoscale Motor Made by Nature-The Bacterial Flagellar Motor","2015"
"000365192900005","10.1162/ARTL_a_00187","Mavelli, Fabio; Stano, Pasquale","Mavelli, Fabio; Stano, Pasquale","","Experiments on and Numerical Modeling of the Capture and Concentration of Transcription-Translation Machinery inside Vesicles","2015"
"000365394100023","10.1105/tpc.15.00329","Gonzalez-Esquer, C Raul; Kerfeld, Cheryl A; Shubitowski, Tyler B","Gonzalez-Esquer, C Raul; Kerfeld, Cheryl A; Shubitowski, Tyler B","","Streamlined Construction of the Cyanobacterial CO2-Fixing Organelle via Protein Domain Fusions for Use in Plant Synthetic Biology","2015"
"000362724300003","10.1002/biot.201400422","Brockman, Irene M; Prather, Kristala L J","Brockman, Irene M; Prather, Kristala Jones","","Dynamic metabolic engineering: New strategies for developing responsive cell factories","2015"
"000362724300013","10.1002/biot.201500056","Couture, Manon M-J; D'Aoust, Marc-Andre; Goulet, Marie-Claire; Jutras, Philippe V; Michaud, Dominique; Sainsbury, Frank; Vezina, Louis-Philippe","Couture, Manon M-J; D'Aoust, Marc-Andre; Goulet, Marie-Claire; Jutras, Philippe V; Michaud, Dominique; Sainsbury, Frank; Vezina, Louis-Philippe","","Modulating secretory pathway pH by proton channel co-expression can increase recombinant protein stability in plants","2015"
"000362909500022","10.1109/TCBB.2015.2424424","Bordon, Jure; Moskon, Miha; Mraz, Miha; Zimic, Nikolaj","Bordon, Jure; Moskon, Miha; Mraz, Miha; Zimic, Nikolaj","","Fuzzy Logic as a Computational Tool for Quantitative Modelling of Biological Systems with Uncertain Kinetic Data","2015"
"000362909500023","10.1109/TCBB.2015.2396060","Chen, Po-Kuei; Lin, Chun-Liang","Chen, Po-Kuei; Lin, Chun-Liang","","Synthesis of Genetic Clock with Combinational Biologic Circuits","2015"
"000362505300045","10.3390/molecules200916235","Cui, Guang-Hong; Guo, Juan; He, Ya-Li; Huang, Lu-Qi; Lin, Hui-Xin; Liu, Yu-Chen; Ma, Xiao-Hui; Ma, Xiao-Jing; Ma, Ying; Rong, Qi-Xian; Shen, Ye; Tang, Jin-Fu","Cui, Guang-Hong; Guo, Juan; He, Ya-Li; Huang, Lu-Qi; Lin, Hui-Xin; Liu, Yu-Chen; Ma, Xiao-Hui; Ma, Xiao-Jing; Ma, Ying; Rong, Qi-Xian; Shen, Ye; Tang, Jin-Fu","","The Biosynthetic Pathways of Tanshinones and Phenolic Acids in Salvia miltiorrhiza","2015"
"000363074800008","10.1016/j.plasmid.2015.06.003","Aslett, Denise; Dalal, Jyoti; Ganapathy, Sowmya; Grunden, Amy; Ji, Mikyoung; La Hovary, Christophe; Qu, Rongda; Rodriguez-Welsh, Maria; Sederoff, Heike; Yalamanchili, Roopa","Aslett, Denise; Dalal, Jyoti; Ganapathy, Sowmya; Grunden, Amy; Ji, Mikyoung; La Hovary, Christophe; Qu, Rongda; Rodriguez-Welsh, Maria; Sederoff, Heike; Yalamanchili, Roopa","","A novel gateway-compatible binary vector series (PC-GW) for flexible cloning of multiple genes for genetic transformation of plants","2015"
"000362676400036","10.1128/AEM.01966-15","Alcalde, Miguel; Ferreira, Patricia; Gonzalez-Perez, David; Martinez, Angel T; Vina-Gonzalez, Javier","Alcalde, Miguel; Ferreira, Patricia; Gonzalez-Perez, David; Martinez, Angel T; Vina-Gonzalez, Javier","","Focused Directed Evolution of Aryl-Alcohol Oxidase in Saccharomyces cerevisiae by Using Chimeric Signal Peptides","2015"
"000362636100003","10.3390/chemosensors3030224","Astakhova, Kira; Barducci, Maria Carla; Miotke, Laura","Astakhova, Kira; Barducci, Maria Carla; Miotke, Laura","","Novel Signal-Enhancing Approaches for Optical Detection of Nucleic Acids-Going beyond Target Amplification","2015"
"000361867200018","10.1021/acschembio.5b00415","Nathan, Aparna; Regan, Lynne; Speltz, Elizabeth B","Nathan, Aparna; Regan, Lynne; Speltz, Elizabeth B","","Design of Protein-Peptide Interaction Modules for Assembling Supramolecular Structures in Vivo and in Vitro","2015"
"000362285900007","10.1109/MPUL.2015.2456248","Leake, Devin","Leake, Devin","","Next-Gen Gene Synthesis Enables Large-Scale Engineering in Biological Systems Recent advances in synthetic biology are making this field more promising than ever","2015"
"000362218700005","10.3184/003685015X14368807556441","Wang, Xiao; Wu, Fuqing","Wang, Xiao; Wu, Fuqing","","Applications of synthetic gene networks","2015"
